file_id,source_commit,source_path,event_subscriber_attributes
CZFILE-0102,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ReleaseSalesDocHandlerCZL.Codeunit.al,2
CZFILE-0103,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ReleaseVIESDeclarationCZL.Codeunit.al,0
CZFILE-0104,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ReminderHandlerCZL.Codeunit.al,4
CZFILE-0105,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ReplaceVATPeriodMgtCZL.Codeunit.al,0
CZFILE-0106,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ReportSelectionHandlerCZL.Codeunit.al,1
CZFILE-0107,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/RequisitionLineHandlerCZL.Codeunit.al,1
CZFILE-0108,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ResJnlCheckLineHandlerCZL.Codeunit.al,2
CZFILE-0109,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/SOAPWSRequestManagementCZL.Codeunit.al,0
CZFILE-0110,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/SalesHeaderHandlerCZL.Codeunit.al,12
CZFILE-0111,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/SalesLineHandlerCZL.Codeunit.al,5
CZFILE-0112,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/SalesPostingHandlerCZL.Codeunit.al,8
CZFILE-0113,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ServiceHeaderHandlerCZL.Codeunit.al,8
CZFILE-0114,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ServiceLineHandlerCZL.Codeunit.al,3
CZFILE-0115,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/ServicePostingHandlerCZL.Codeunit.al,7
CZFILE-0116,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/SourceCodeSetupHandlerCZL.Codeunit.al,1
CZFILE-0117,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/SubstituteReportHandlerCZL.Codeunit.al,3
CZFILE-0118,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/SyncDepFldSalesHeaderCZL.Codeunit.al,4
CZFILE-0119,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/SyncDepFldVATPeriodCZL.Codeunit.al,6
CZFILE-0120,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/TransferLineHandlerCZL.Codeunit.al,1
CZFILE-0121,397d01199c321e774edaf23a7290fee40f75c6a6,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/TransformationRuleMgtCZL.Codeunit.al,1
