inventory_id,source_commit,application_id,application_name,application_version,source_path,source_line,subscriber_codeunit_id,subscriber_codeunit_name,subscriber_instance,subscriber_procedure,publisher_object_type,publisher_object,published_event_name,published_element_name,skip_on_missing_license,skip_on_missing_permission,procedure_signature,parameter_names,var_parameter_names,has_ishandled_parameter,has_handled_parameter,has_skip_parameter,conditional_compilation_context,prior_known,coarse_screen_status,selection_status
CZPOP-0283,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,58,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateVatCurrencyCodeCZLOnBeforeCurrencyCodeValidate,ObjectType::Table,"Database::""Purchase Header""",OnAfterValidateEvent,Currency Code,false,false,"var Rec: Record ""Purchase Header""",Rec,Rec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0284,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,64,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateVATCurrencyfactorCZLOnBeforeCurrencyFactorValidate,ObjectType::Table,"Database::""Purchase Header""",OnAfterValidateEvent,Currency Factor,false,false,"var Rec: Record ""Purchase Header""",Rec,Rec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0285,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,70,11744,Purchase Header Handler CZL,StaticAutomatic (default),OnAfterUpdateCurrencyFactor,ObjectType::Table,"Database::""Purchase Header""",OnAfterUpdateCurrencyFactor,,false,false,"var PurchaseHeader: Record ""Purchase Header""",PurchaseHeader,PurchaseHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0286,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,76,11744,Purchase Header Handler CZL,StaticAutomatic (default),OnBeforeValidateDocumentDateWithPostingDate,ObjectType::Table,"Database::""Purchase Header""",OnBeforeValidateDocumentDateWithPostingDate,,false,false,"var PurchaseHeader: Record ""Purchase Header""",PurchaseHeader,PurchaseHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0287,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,83,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateBankAccountOnInitPurchHeader,ObjectType::Table,"Database::""Purchase Header""",OnInitFromPurchHeader,,false,false,"var PurchaseHeader: Record ""Purchase Header""; SourcePurchaseHeader: Record ""Purchase Header""",PurchaseHeader | SourcePurchaseHeader,PurchaseHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0288,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,95,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateVATRegistrationNoCodeOnAfterVATCountryRegionCodeValidate,ObjectType::Table,"Database::""Purchase Header""",OnAfterValidateEvent,VAT Country/Region Code,false,false,"var Rec: Record ""Purchase Header""",Rec,Rec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0289,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,106,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateVATCountryRegionCodeOnAfterBuyFromCountryRegionCodeValidate,ObjectType::Table,"Database::""Purchase Header""",OnAfterValidateEvent,Buy-from Country/Region Code,false,false,"var Rec: Record ""Purchase Header""; var xRec: Record ""Purchase Header""",Rec | xRec,Rec | xRec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0290,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseHeaderHandlerCZL.Codeunit.al,113,11744,Purchase Header Handler CZL,StaticAutomatic (default),UpdateVATCountryRegionCodeOnValidateOrderAddressCodeOnAfterCopyBuyFromVendorAddressFieldsFromVendor,ObjectType::Table,"Database::""Purchase Header""",OnValidateOrderAddressCodeOnAfterCopyBuyFromVendorAddressFieldsFromVendor,,false,false,"var PurchaseHeader: Record ""Purchase Header""; Vend: Record Vendor",PurchaseHeader | Vend,PurchaseHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0291,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseLineHandlerCZL.Codeunit.al,12,11784,Purchase Line Handler CZL,StaticAutomatic (default),CopyFromItemOnAfterAssignItemValues,ObjectType::Table,"Database::""Purchase Line""",OnAfterAssignItemValues,,false,false,"var PurchLine: Record ""Purchase Line""; Item: Record Item",PurchLine | Item,PurchLine,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0292,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseLineHandlerCZL.Codeunit.al,18,11784,Purchase Line Handler CZL,StaticAutomatic (default),SetPurchaseHeaderArchiveOnBeforeGetPurchHeader,ObjectType::Table,"Database::""Purchase Line""",OnBeforeGetPurchHeader,,false,false,"var PurchaseLine: Record ""Purchase Line""; var PurchaseHeader: Record ""Purchase Header""",PurchaseLine | PurchaseHeader,PurchaseLine | PurchaseHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0293,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseLineHandlerCZL.Codeunit.al,37,11784,Purchase Line Handler CZL,StaticAutomatic (default),RemoveVATCorrectionOnBeforeDeleteEvent,ObjectType::Table,"Database::""Purchase Line""",OnBeforeDeleteEvent,,false,false,"var Rec: Record ""Purchase Line""; RunTrigger: Boolean",Rec | RunTrigger,Rec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0294,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseLineHandlerCZL.Codeunit.al,47,11784,Purchase Line Handler CZL,StaticAutomatic (default),RemoveVATCorrectionOnBeforeInsertEvent,ObjectType::Table,"Database::""Purchase Line""",OnBeforeInsertEvent,,false,false,"var Rec: Record ""Purchase Line""; RunTrigger: Boolean",Rec | RunTrigger,Rec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0295,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseLineHandlerCZL.Codeunit.al,57,11784,Purchase Line Handler CZL,StaticAutomatic (default),RemoveVATCorrectionOnBeforeModifyEvent,ObjectType::Table,"Database::""Purchase Line""",OnBeforeModifyEvent,,false,false,"var Rec: Record ""Purchase Line""; RunTrigger: Boolean",Rec | RunTrigger,Rec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0296,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchaseLineHandlerCZL.Codeunit.al,91,11784,Purchase Line Handler CZL,StaticAutomatic (default),ProdOrderNoOnAfterValidate,ObjectType::Table,"Database::""Purchase Line""",OnAfterValidateEvent,Prod. Order No.,false,false,"var Rec: Record ""Purchase Line""; var xRec: Record ""Purchase Line""; CurrFieldNo: Integer",Rec | xRec | CurrFieldNo,Rec | xRec,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0297,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchasePostingHandlerCZL.Codeunit.al,32,31039,Purchase Posting Handler CZL,StaticAutomatic (default),PurchasePostVATCurrencyFactorOnPostLinesOnAfterGenJnlLinePost,ObjectType::Codeunit,"Codeunit::""Purch. Post Invoice Events""",OnPostLinesOnAfterGenJnlLinePost,,false,false,"var GenJnlLine: Record ""Gen. Journal Line""; TempInvoicePostingBuffer: Record ""Invoice Posting Buffer""; PurchHeader: Record ""Purchase Header""; var GenJnlPostLine: Codeunit ""Gen. Jnl.-Post Line""",GenJnlLine | TempInvoicePostingBuffer | PurchHeader | GenJnlPostLine,GenJnlLine | GenJnlPostLine,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0298,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchasePostingHandlerCZL.Codeunit.al,38,31039,Purchase Posting Handler CZL,StaticAutomatic (default),CheckVatDateOnAfterCheckPurchDoc,ObjectType::Codeunit,"Codeunit::""Purch.-Post""",OnAfterCheckPurchDoc,,false,false,"var PurchHeader: Record ""Purchase Header""",PurchHeader,PurchHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0299,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchasePostingHandlerCZL.Codeunit.al,46,31039,Purchase Posting Handler CZL,StaticAutomatic (default),CheckPurchDocumentOnCheckAndUpdateOnAfterSetPostingFlags,ObjectType::Codeunit,"Codeunit::""Purch.-Post""",OnCheckAndUpdateOnAfterSetPostingFlags,,false,false,"var PurchHeader: Record ""Purchase Header""",PurchHeader,PurchHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0300,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchasePostingHandlerCZL.Codeunit.al,118,31039,Purchase Posting Handler CZL,StaticAutomatic (default),SkipCheckExternalDocumentNoOnBeforeCheckExternalDocumentNumber,ObjectType::Codeunit,"Codeunit::""Purch.-Post""",OnBeforeCheckExternalDocumentNumber,,false,false,var Handled: Boolean,Handled,Handled,No,Yes,No,,Unknown,Not Screened,Unselected
CZPOP-0301,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchasePostingHandlerCZL.Codeunit.al,129,31039,Purchase Posting Handler CZL,StaticAutomatic (default),UpdateSymbolsAndBankAccountOnPostLedgerEntryOnBeforeGenJnlPostLine,ObjectType::Codeunit,"Codeunit::""Purch. Post Invoice Events""",OnPostLedgerEntryOnBeforeGenJnlPostLine,,false,false,"var GenJnlLine: Record ""Gen. Journal Line""; var PurchHeader: Record ""Purchase Header""",GenJnlLine | PurchHeader,GenJnlLine | PurchHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0302,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchasePostingHandlerCZL.Codeunit.al,145,31039,Purchase Posting Handler CZL,StaticAutomatic (default),FillVariableSymbolOnBeforePurchInvHeaderInsert,ObjectType::Codeunit,"Codeunit::""Purch.-Post""",OnBeforePurchInvHeaderInsert,,false,false,"var PurchInvHeader: Record ""Purch. Inv. Header""",PurchInvHeader,PurchInvHeader,No,No,No,,Unknown,Not Screened,Unselected
CZPOP-0303,397d01199c321e774edaf23a7290fee40f75c6a6,267b59d3-7302-44c5-ba77-c87000380514,Core Localization Pack for Czech,29.0.0.0,src/Apps/CZ/CoreLocalizationPack/app/Src/Codeunits/PurchasePostingHandlerCZL.Codeunit.al,152,31039,Purchase Posting Handler CZL,StaticAutomatic (default),FillVariableSymbolOnBeforePurchCrMemoHeaderInsert,ObjectType::Codeunit,"Codeunit::""Purch.-Post""",OnBeforePurchCrMemoHeaderInsert,,false,false,"var PurchCrMemoHdr: Record ""Purch. Cr. Memo Hdr.""",PurchCrMemoHdr,PurchCrMemoHdr,No,No,No,,Unknown,Not Screened,Unselected
